date,count,uniques
2026-08-05,0,0
2026-08-06,0,0
2026-08-07,0,0
2026-08-08,0,0
2026-08-09,0,0
2026-08-10,0,0
2026-08-11,0,0
2026-08-12,0,0
2026-08-13,0,0
2026-08-14,0,0
2026-08-15,0,0
2026-08-16,0,0
2026-08-17,0,0
2026-08-18,50,19
2026-08-19,12,8
2026-08-20,9,4
2026-08-21,2,2
2026-08-22,4,4
2026-08-23,2,2
2026-08-24,10,6
2026-08-25,20,14
2026-08-26,9,9
2026-08-27,4,4
2026-08-28,2,2
2026-08-29,3,3
2026-08-30,2,2
2026-08-31,5,5
2026-09-01,2,2
2026-09-02,2,2
2026-09-03,2,2
2026-09-04,4,4
2026-09-05,2,2
2026-09-06,10,6
2026-09-07,8,5
